col,description,units,ordinal_map,nominal_labels
aux_agera5_tmax_djf_cl,AGERA5 max temperature (Dec-Jan-Feb),°C,"{""0"": 3, ""1"": 1, ""2"": 2, ""3"": 4, ""4"": 0}","{""0"": ""High AGERA5 maximum temperature in December-January-February (28.1-29.1 °C)"", ""1"": ""Low AGERA5 maximum temperature in December-January-February (25.2-26.9 °C)"", ""2"": ""Medium AGERA5 maximum temperature in December-January-February (26.9-28.1 °C)"", ""3"": ""Very high AGERA5 maximum temperature in December-January-February (>29.1 °C)"", ""4"": ""Very low AGERA5 maximum temperature in December-January-February (<25.2 °C)""}"
aux_agera5_tmax_mam_cl,AGERA5 max temperature (Mar-Apr-May),°C,"{""0"": 3, ""1"": 1, ""2"": 2, ""3"": 4, ""4"": 0}","{""0"": ""High AGERA5 maximum temperature in March-April-May (26.7-27.7 °C)"", ""1"": ""Low AGERA5 maximum temperature in March-April-May (24.2-25.7 °C)"", ""2"": ""Medium AGERA5 maximum temperature in March-April-May (25.7-26.7 °C)"", ""3"": ""Very high AGERA5 maximum temperature in March-April-May (>27.7 °C)"", ""4"": ""Very low AGERA5 maximum temperature in March-April-May (<24.2 °C)""}"
aux_agera5_tmax_jja_cl,AGERA5 max temperature (Jun-Jul-Aug),°C,"{""0"": 3, ""1"": 1, ""2"": 2, ""3"": 4, ""4"": 0}","{""0"": ""High AGERA5 maximum temperature in June-July-August (25.0-26.0 °C)"", ""1"": ""Low AGERA5 maximum temperature in June-July-August (22.6-24.0 °C)"", ""2"": ""Medium AGERA5 maximum temperature in June-July-August (24.0-25.0 °C)"", ""3"": ""Very high AGERA5 maximum temperature in June-July-August (>26.0 °C)"", ""4"": ""Very low AGERA5 maximum temperature in June-July-August (<22.6 °C)""}"
aux_agera5_tmax_son_cl,AGERA5 max temperature (Sep-Oct-Nov),°C,"{""0"": 3, ""1"": 1, ""2"": 2, ""3"": 4, ""4"": 0}","{""0"": ""High AGERA5 maximum temperature in September-October-November (26.7-27.8 °C)"", ""1"": ""Low AGERA5 maximum temperature in September-October-November (24.3-25.8 °C)"", ""2"": ""Medium AGERA5 maximum temperature in September-October-November (25.8-26.7 °C)"", ""3"": ""Very high AGERA5 maximum temperature in September-October-November (>27.8 °C)"", ""4"": ""Very low AGERA5 maximum temperature in September-October-November (<24.3 °C)""}"
aux_agera5_tmax_grow_cl,AGERA5 max temperature in growing season,°C,"{""0"": 3, ""1"": 1, ""2"": 2, ""3"": 4, ""4"": 0}","{""0"": ""High AGERA5 maximum temperature in the growing season (26.2-27.0 °C)"", ""1"": ""Low AGERA5 maximum temperature in the growing season (23.7-25.2 °C)"", ""2"": ""Medium AGERA5 maximum temperature in the growing season (25.2-26.2 °C)"", ""3"": ""Very high AGERA5 maximum temperature in the growing season (>27.0 °C)"", ""4"": ""Very low AGERA5 maximum temperature in the growing season (<23.7 °C)""}"
aux_agera5_tmin_djf_cl,AGERA5 min temperature (Dec-Jan-Feb),°C,"{""0"": 3, ""1"": 1, ""2"": 2, ""3"": 4, ""4"": 0}","{""0"": ""High AGERA5 minimum temperature in December-January-February (16.8-17.7 °C)"", ""1"": ""Low AGERA5 minimum temperature in December-January-February (14.2-15.6 °C)"", ""2"": ""Medium AGERA5 minimum temperature in December-January-February (15.6-16.8 °C)"", ""3"": ""Very high AGERA5 minimum temperature in December-January-February (>17.7 °C)"", ""4"": ""Very low AGERA5 minimum temperature in December-January-February (<14.2 °C)""}"
aux_agera5_tmin_mam_cl,AGERA5 min temperature (Mar-Apr-May),°C,"{""0"": 3, ""1"": 1, ""2"": 2, ""3"": 4, ""4"": 0}","{""0"": ""High AGERA5 minimum temperature in March-April-May (16.5-17.3 °C)"", ""1"": ""Low AGERA5 minimum temperature in March-April-May (14.3-15.6 °C)"", ""2"": ""Medium AGERA5 minimum temperature in March-April-May (15.6-16.5 °C)"", ""3"": ""Very high AGERA5 minimum temperature in March-April-May (>17.3 °C)"", ""4"": ""Very low AGERA5 minimum temperature in March-April-May (<14.3 °C)""}"
aux_agera5_tmin_jja_cl,AGERA5 min temperature (Jun-Jul-Aug),°C,"{""0"": 3, ""1"": 1, ""2"": 2, ""3"": 4, ""4"": 0}","{""0"": ""High AGERA5 minimum temperature in June-July-August (15.4-16.3 °C)"", ""1"": ""Low AGERA5 minimum temperature in June-July-August (12.8-14.2 °C)"", ""2"": ""Medium AGERA5 minimum temperature in June-July-August (14.2-15.4 °C)"", ""3"": ""Very high AGERA5 minimum temperature in June-July-August (>16.3 °C)"", ""4"": ""Very low AGERA5 minimum temperature in June-July-August (<12.8 °C)""}"
aux_agera5_tmin_son_cl,AGERA5 min temperature (Sep-Oct-Nov),°C,"{""0"": 3, ""1"": 1, ""2"": 2, ""3"": 4, ""4"": 0}","{""0"": ""High AGERA5 minimum temperature in September-October-November (16.3-17.2 °C)"", ""1"": ""Low AGERA5 minimum temperature in September-October-November (13.9-15.3 °C)"", ""2"": ""Medium AGERA5 minimum temperature in September-October-November (15.3-16.3 °C)"", ""3"": ""Very high AGERA5 minimum temperature in September-October-November (>17.2 °C)"", ""4"": ""Very low AGERA5 minimum temperature in September-October-November (<13.9 °C)""}"
aux_agera5_tmin_grow_cl,AGERA5 min temperature in growing season,°C,"{""0"": 3, ""1"": 1, ""2"": 2, ""3"": 4, ""4"": 0}","{""0"": ""High AGERA5 minimum temperature in the growing season (15.9-16.8 °C)"", ""1"": ""Low AGERA5 minimum temperature in the growing season (13.8-15.0 °C)"", ""2"": ""Medium AGERA5 minimum temperature in the growing season (15.0-15.9 °C)"", ""3"": ""Very high AGERA5 minimum temperature in the growing season (>16.8 °C)"", ""4"": ""Very low AGERA5 minimum temperature in the growing season (<13.8 °C)""}"
